payload_duty,all_corners_pass,worst_min_soc,worst_net_wh_per_orbit
0.0,True,0.8,1.8185185185185184
0.01,True,0.8,1.7245740740740736
0.02,True,0.8,1.6306296296296294
0.03,True,0.8,1.5366851851851853
0.04,True,0.8,1.4427407407407407
0.05,True,0.8,1.3487962962962965
0.06,True,0.8,1.254851851851852
0.07,True,0.8,1.1609074074074075
0.08,True,0.8,1.066962962962963
0.09,True,0.8,0.973018518518519
0.1,True,0.8,0.8790740740740741
0.11,True,0.8,0.7851296296296297
0.12,True,0.8,0.6911851851851858
0.13,True,0.8,0.5972407407407401
0.14,True,0.8,0.5032962962962966
0.15,True,0.8,0.4093518518518522
0.16,True,0.8,0.31540740740740736
0.17,True,0.8,0.22146296296296342
0.18,True,0.8,0.12751851851851903
0.19,True,0.8,0.0335740740740742
0.2,False,0.7396296296296427,-0.060370370370370185
0.21,False,0.6456851851851895,-0.15431481481481368
0.22,False,0.5517407407407504,-0.24825925925925985
0.23,False,0.45779629629629714,-0.34220370370370334
0.24,False,0.3638518518518567,-0.4361481481481482
0.25,False,0.2699074074074048,-0.5300925925925926
0.26,False,0.175962962962963,-0.6240370370370374
0.27,False,0.08201851851851359,-0.7179814814814816
0.28,False,0.0,-0.8119259259259264
0.29,False,0.0,-0.9058703703703701
0.3,False,0.0,-0.999814814814814
0.31,False,0.0,-1.093759259259259
0.32,False,0.0,-1.1877037037037037
0.33,False,0.0,-1.2816481481481483
0.34,False,0.0,-1.3755925925925925
0.35,False,0.0,-1.4695370370370369
0.36,False,0.0,-1.5634814814814815
0.37,False,0.0,-1.657425925925925
0.38,False,0.0,-1.7513703703703707
0.39,False,0.0,-1.845314814814814
0.4,False,0.0,-1.9392592592592592
0.41,False,0.0,-2.0332037037037036
0.42,False,0.0,-2.127148148148148
0.43,False,0.0,-2.2210925925925924
0.44,False,0.0,-2.3150370370370377
0.45,False,0.0,-2.4089814814814816
0.46,False,0.0,-2.5029259259259247
0.47,False,0.0,-2.596870370370371
0.48,False,0.0,-2.6908148148148143
0.49,False,0.0,-2.784759259259258
0.5,False,0.0,-2.878703703703704
0.51,False,0.0,-2.9726481481481493
0.52,False,0.0,-3.0665925925925928
0.53,False,0.0,-3.1605370370370363
0.54,False,0.0,-3.254481481481482
0.55,False,0.0,-3.348425925925927
0.56,False,0.0,-3.4423703703703707
0.57,False,0.0,-3.536314814814815
0.58,False,0.0,-3.630259259259259
0.59,False,0.0,-3.7242037037037035
0.6,False,0.0,-3.8181481481481474
0.61,False,0.0,-3.9120925925925922
0.62,False,0.0,-4.006037037037037
0.63,False,0.0,-4.099981481481482
0.64,False,0.0,-4.193925925925926
0.65,False,0.0,-4.287870370370371
0.66,False,0.0,-4.381814814814815
0.67,False,0.0,-4.47962962962963
0.68,False,0.0,-4.585185185185185
0.69,False,0.0,-4.69074074074074
0.7,False,0.0,-4.796296296296295
0.71,False,0.0,-4.901851851851852
0.72,False,0.0,-5.007407407407408
0.73,False,0.0,-5.112962962962962
0.74,False,0.0,-5.2185185185185174
0.75,False,0.0,-5.3240740740740735
0.76,False,0.0,-5.4296296296296305
0.77,False,0.0,-5.535185185185185
0.78,False,0.0,-5.64074074074074
0.79,False,0.0,-5.746296296296297
0.8,False,0.0,-5.851851851851853
0.81,False,0.0,-5.957407407407409
0.82,False,0.0,-6.062962962962962
0.83,False,0.0,-6.168518518518518
0.84,False,0.0,-6.274074074074074
0.85,False,0.0,-6.37962962962963
0.86,False,0.0,-6.485185185185184
0.87,False,0.0,-6.59074074074074
0.88,False,0.0,-6.696296296296296
0.89,False,0.0,-6.801851851851852
0.9,False,0.0,-6.907407407407408
0.91,False,0.0,-7.012962962962963
0.92,False,0.0,-7.118518518518519
0.93,False,0.0,-7.224074074074073
0.94,False,0.0,-7.329629629629629
0.95,False,0.0,-7.435185185185185
0.96,False,0.0,-7.540740740740739
0.97,False,0.0,-7.646296296296297
0.98,False,0.0,-7.751851851851851
0.99,False,0.0,-7.857407407407407
1.0,False,0.0,-7.962962962962962
