adm2_code,governorate,district,first_year,latest_year,first_radiance,latest_radiance,latest_median,latest_q95,latest_good_quality,change_percent,log_radiance_slope_per_year
IRQ001004,Al-Anbar,Al-Rutba,2012,2024,0.003346131881698966,0.012121886946260929,0.2507659593605753,0.476455322785093,1.0,262.2656659935997,0.0005115420956702402
IRQ003003,Al-Muthanna,Al-Salman,2012,2024,0.0009186239331029356,0.013313475996255875,0.25190592054640926,0.4786212490381776,1.0,1349.2846872915127,0.0010418711221433733
IRQ015003,Ninewa,Al-Hatra,2012,2024,0.005941940937191248,0.0505116805434227,0.2572785847321831,0.4888293109911479,1.0,750.0872202762006,0.004882825071844137
IRQ015001,Ninewa,Al-Baaj,2012,2024,0.01184815913438797,0.06003307178616524,0.25648015331887025,0.48731229130585346,1.0,406.6869131756164,0.003354828901739703
IRQ011001,Erbil,Al-Zibar,2012,2024,0.042738135904073715,0.1173594668507576,0.26798364818206094,0.6326588983574243,1.0,174.6012767477094,0.014694941309425764
IRQ001005,Al-Anbar,Ana,2012,2024,0.024223066866397858,0.14670562744140625,0.25754143914057237,0.4893287343670874,0.9987573828334739,505.64431519163134,0.009923539339022815
IRQ009003,Diyala,Baladruz,2012,2024,0.12575478851795197,0.29062631726264954,0.29916510432019866,1.0312961052278011,1.0,131.105567181771,0.01618108046635293
IRQ001002,Al-Anbar,Al-Kaim,2012,2024,0.057459425181150436,0.3083328604698181,0.2670306811210802,0.6420774934016107,1.0,436.60971981141,0.01599791078486006
IRQ014005,Maysan,Ali Al-Gharbi,2012,2024,0.04768884554505348,0.3556346595287323,0.31368123332588027,1.0359681747991185,1.0,645.7397122200213,0.022997463175660447
IRQ011005,Erbil,Rawanduz,2012,2024,0.2059309482574463,0.38217365741729736,0.2839838670711615,1.1813934389021084,0.9998834498834499,85.58340096580326,0.013111474428296037
IRQ006002,Al-Sulaymaniyah,Chamchamal,2012,2024,0.2518550753593445,0.3926064968109131,0.2995222455581832,1.1767824537041491,1.0,55.885878515946445,0.016149835304983935
IRQ012001,Kerbala,Ain Al-Tamur,2012,2024,0.07329368591308594,0.3951023519039154,0.14753700159529876,0.9485716997326361,0.9011428571428571,439.06737938168476,0.01943415833771564
IRQ004003,Al-Najaf,Al-Najaf,2012,2024,0.062005411833524704,0.41259872913360596,0.2609529737840487,0.49581065018969256,1.0,565.4237379172193,0.023372587447296096
IRQ018005,Wassit,Badra,2012,2024,0.02742917276918888,0.5159669518470764,0.3188032731920005,1.4624399537998272,1.0,1781.088271195188,0.022799477214844793
IRQ006007,Al-Sulaymaniyah,Panjwin,2012,2024,0.15824100375175476,0.5303782224655151,0.3122725349418675,1.378633432184208,1.0,235.17116922334594,0.020518603301135543
IRQ006010,Al-Sulaymaniyah,Sharbazher,2012,2024,0.07823364436626434,0.5868003964424133,0.3286937803830998,2.488881263407765,1.0,650.0614360941768,0.04338091542065304
IRQ010001,Duhok,Al-Amadiya,2012,2024,0.13472910225391388,0.6031270623207092,0.3637605090681783,2.841639973526523,1.0,347.6590819881221,0.036307975733228665
IRQ006008,Al-Sulaymaniyah,Pshdar,2012,2024,0.12595094740390778,0.6075729131698608,0.34364923935321884,2.3466610844466915,1.0,382.38852163728166,0.03569213171678609
IRQ001007,Al-Anbar,Heet,2012,2024,0.08241190761327744,0.6237661242485046,0.2912591102091888,1.5354861861454407,0.9999761950104742,656.8883457662,0.036475817019402224
IRQ005001,Al-Qadissiya,Afaq,2012,2024,0.0936291515827179,0.6277470588684082,0.3694456622255755,2.43394741633369,0.9994480982385135,570.4611205558313,0.035350502833744905
IRQ015007,Ninewa,Sinjar,2012,2024,0.05711746588349342,0.6296980977058411,0.33213560252607693,2.3970421416641523,1.0,1002.4615465088757,0.03755308397187214
IRQ009006,Diyala,Kifri,2012,2024,0.185831218957901,0.6305715441703796,0.3488294705043504,2.573067451364351,1.0,239.32487108812003,0.03868912188589556
IRQ011003,Erbil,Koysinjaq,2012,2024,0.38824257254600525,0.6576465368270874,0.3587043706883609,2.377283590882186,1.0,69.39062929508042,0.02582969752785572
IRQ014003,Maysan,Al-Maimouna,2012,2024,0.05545825511217117,0.7273035049438477,0.43920525353726536,2.4462153144981396,1.0,1211.443180952568,0.04756843511111984
IRQ015006,Ninewa,Aqra,2012,2024,0.2576974332332611,0.7302325367927551,0.45521282755449516,2.585320260941251,1.0,183.36818400972095,0.03749271571674191
IRQ013002,Kirkuk,Daquq,2012,2024,0.3583202362060547,0.7534226179122925,0.48386857145486,2.2735709150831775,1.0,110.26515998360509,0.04213263625798982
IRQ016001,Salah Al-Din,Al-Daur,2012,2024,0.040597036480903625,0.938139796257019,0.4085227798634883,3.428054946149555,1.0,2210.857829975617,0.07347214745910184
IRQ006004,Al-Sulaymaniyah,Dokan,2012,2024,0.22465623915195465,0.9898597598075867,0.4572210197585446,3.820126150770891,1.0,340.61084773081154,0.05137984671794459
IRQ015008,Ninewa,Telafar,2012,2024,0.1447666585445404,0.9984605312347412,0.4413765824840583,3.308631545927956,1.0,589.7033759520978,0.05270182109232079
IRQ011004,Erbil,Makhmour,2012,2024,0.5227912068367004,1.058391809463501,0.6916065194565605,2.662256619926069,1.0,102.4501934276223,0.04420029992326335
IRQ003001,Al-Muthanna,Al-Khidhir,2012,2024,0.20124894380569458,1.077027440071106,0.36729503021980237,4.6694379444286245,1.0,435.17172299347504,0.044711130772736765
IRQ016004,Salah Al-Din,Beygee,2012,2024,0.9066240787506104,1.1309654712677002,0.30961659724250784,2.917898831587983,1.0,24.74469824651553,0.03625513796938702
IRQ018003,Wassit,Al-Namaniya,2012,2024,0.6691552400588989,1.1333110332489014,0.4836590351060608,3.9134756840078584,0.9964121699196326,69.36444122430359,0.019225004585861818
IRQ006006,Al-Sulaymaniyah,Kalar,2012,2024,0.3735389709472656,1.175132155418396,0.3232156034694426,3.5921502966475534,1.0,214.59425838175673,0.03753255209849345
IRQ014001,Maysan,Al-Amara,2012,2024,0.3719704747200012,1.1783854961395264,0.7149623227294115,3.750620819690841,1.0,216.79543840853222,0.04147704606972687
IRQ016007,Salah Al-Din,Tooz Khurmato,2012,2024,0.23582081496715546,1.196890115737915,0.3772129222888222,3.5194497668609768,1.0,407.54218447791175,0.05405354258323354
IRQ018001,Wassit,Al-Hai,2012,2024,0.14193594455718994,1.2912942171096802,0.5610928428094174,3.3273178124419247,1.0,809.7725182569112,0.05918624221668402
IRQ009005,Diyala,Khanaqin,2012,2024,0.5177338719367981,1.3099192380905151,0.42370033955171665,4.5834737472706495,0.9999559994719937,153.01014847458586,0.05395151365045763
IRQ001006,Al-Anbar,Haditha,2012,2024,0.24427123367786407,1.3109349012374878,0.3090224462923457,2.650512316751394,0.9948020791683326,436.67183053011496,0.05478216361888552
IRQ005003,Al-Qadissiya,Al-Hamza,2012,2024,0.24187348783016205,1.3110851049423218,0.5426764454611971,4.504244169125388,1.0,442.05407823073824,0.060716909888754174
IRQ011006,Erbil,Shaqlawa,2012,2024,0.7613021731376648,1.43802809715271,0.5789429754899998,5.868455997051941,1.0,88.89058088800097,0.03602240742667261
IRQ017001,Thi Qar,Al-Chibayish,2012,2024,0.3928220272064209,1.4928171634674072,0.7584376193181047,3.249033780439028,0.9995432747202557,280.0237919659629,0.03842559946620857
IRQ006009,Al-Sulaymaniyah,Rania,2012,2024,0.47336745262145996,1.499258279800415,0.36657963079619715,6.553584864571556,1.0,216.72187673607,0.04470212994662876
IRQ002006,Al-Basrah,Al-Zubair,2012,2024,1.5004647970199585,1.5069797039031982,0.44362774836120417,4.214178602651343,1.0,0.43419258460304366,0.002821331542976301
IRQ016005,Salah Al-Din,Samarra,2012,2024,0.18889683485031128,1.645806908607483,0.40260377240182565,6.661865848681927,0.998037415719667,771.2728881411275,0.08457857358759083
IRQ002003,Al-Basrah,Al-Faw,2012,2024,0.3170342743396759,1.6492133140563965,0.6395688568617467,3.4292914152351224,1.0,420.2003213978692,0.04057886117406284
IRQ015005,Ninewa,Al-Shikhan,2012,2024,0.18371081352233887,1.6595408916473389,1.0515924396684546,4.451330086114092,1.0,803.3441525996737,0.06840929768927155
IRQ018002,Wassit,Al-Kut,2012,2024,0.41098883748054504,1.6752495765686035,0.3591769891403953,3.8107646161784934,1.0,307.61437386919414,0.04853397593713413
IRQ006005,Al-Sulaymaniyah,Halabcha,2012,2024,0.4724073112010956,1.694462537765503,0.44723948272873476,6.23972226321956,1.0,258.6867725347713,0.05015685663407094
IRQ006003,Al-Sulaymaniyah,Derbendikhan,2012,2024,0.6733302474021912,1.750734806060791,0.391181523801402,7.609537111756183,1.0,160.0113113610131,0.03023680769934648
IRQ014004,Maysan,Al-Mejar Al-Kabir,2012,2024,0.2095995843410492,1.7710628509521484,0.8978628206690906,3.618257835888587,0.9995673617720862,744.9744099064482,0.06526794005762873
IRQ009001,Diyala,Al-Khalis,2012,2024,0.4480745792388916,1.8990378379821777,0.519740226089473,9.195318547086147,0.9999414588455684,323.82182028891737,0.05902889214108425
IRQ018004,Wassit,Al-Suwaira,2012,2024,0.255451500415802,1.928941249847412,0.6518846566563918,6.973798937412408,0.9994655264564404,655.1105578583987,0.06887464541828231
IRQ016002,Salah Al-Din,Al-Shirqat,2012,2024,0.4192584156990051,1.9390321969985962,0.5088846811024907,11.168411947555088,1.0,362.49094219510437,0.07392129248331462
IRQ013001,Kirkuk,Al-Hawiga,2012,2024,0.9230114817619324,1.960789680480957,0.9258363101537984,6.22724316895766,1.0,112.4339425050287,0.07194519772802091
IRQ013003,Kirkuk,Dibis,2012,2024,2.299402952194214,2.11672043800354,1.3930126096389464,5.0453223663110185,1.0,-7.944780362065218,0.021580125405338386
IRQ017003,Thi Qar,Al-Rifai,2012,2024,0.2869795262813568,2.3023765087127686,0.9614822049030955,6.877201332224287,1.0,702.2790122161891,0.07016050766165237
IRQ001003,Al-Anbar,Al-Ramadi,2012,2024,0.2825840413570404,2.351684093475342,0.286845799517714,8.359404613799379,0.9895235926209652,732.2069718381679,0.085219586649592
IRQ010004,Duhok,Zakho,2012,2024,0.8676959276199341,2.385646104812622,0.4096032088025975,10.372625601246893,1.0,174.9403366864223,0.04723554869842091
